General Information;;;;;;Priority and Status;;Tester;;Additional Information;;Development System;;;Test System via. Transport + Refresh;;;;Test System via. Transport;S4;;ERP;;
;;;;;;;;;;;;Sender;Receiver;;Sender;;Receiver;;Sender;Receiver (Maxi);;Receiver (Maxi);;
Test Case;Goal;Object;Task;Language;Step;Priority;Status ;Previous Tester;Current Tester;Issue No.;Comment; ID1 100; ID1 400 (LSA);ID1 400 (DT);IH1 100;IH1CLNT100;IH1 400 (LSA);IH1 400 (DT);IH2 100;IR1 200 (LSA);IR1 200 (DT);IR2 200 (LSA);IR2 200 (DT);Spalte1
01.0 RDG;;******************************************;n.A.;;n.A.;*********;;;;;;;;;;;;;;;;;;
01.1;2603;Material Group;Change;;3-Step;Medium;open;Ulla;;;Exxon/Intel;;;;;;;;;;;;;
01.10;2603;Material Group Text;Delete;;n.A.;Medium;open;Thomas;;;Exxon/Intel;;;;;;;;;;;;;
01.2;2603;Material Group;Create;;3-Step;Medium;open;Ulla;;;Exxon/Intel;;;;;;;;;;;;;
01.4;2603;Material Group ;Data Export / Import;;General;Medium;open;Patrick;;;Exxon/Intel;;;;;;;;;;;;;
01.5;2603;Material Group ;File Download / Upload;;General;Medium;open;Patrick;;;Exxon/Intel;;;;;;;;;;;;;
01.6;2603;Material Group ;Local Customizing;;General;Medium;open;Sabine;;;Exxon/Intel;;;;;;;;;;;;;
01.7;2603;Material Group  ;Language Test;DE/EN;General;Low;open;Ulla;;;Exxon/Intel;;;;;;;;;;;;;
01.8;2603;Material Group  ;Language Test;FR;General;Low;open;Ulla;;;Exxon/Intel;;;;;;;;;;;;;
01.9;2603;Material Group  ;Language Test;ES;General;Low;open;Ulla;;;Exxon/Intel;;;;;;;;;;;;;
02.1;2603;Unit of Measure;Change;;1-Step;Medium;open;Maxi;;;Exxon/Intel;;;;;;;;;;;;;
02.2;2603;Unit of Measure;Create;;1-Step;Medium;open;Maxi;;;Exxon/Intel;;;;;;;;;;;;;
02.3;2603;Unit of Measure ;File Download / Upload;;General;Medium;open;Patrick;;;Exxon/Intel;;;;;;;;;;;;;
02.4;2603;Unit of Measure ;Data Export / Import;;General;Medium;open;Patrick;;;Exxon/Intel;;;;;;;;;;;;;
02.5;2603;Unit of Measure  ;Language Test;DE/EN;General;Low;open;Ulla;;;Exxon/Intel;;;;;;;;;;;;;
02.6;2603;Unit of Measure  ;Language Test;FR/ES;General;Low;open;Ulla;;;Exxon/Intel;;;;;;;;;;;;;
02.7;2603;Unit of Measure  ;Language Test;ES;General;Low;open;Ulla;;;Exxon/Intel;;;;;;;;;;;;;
03.1;2603;Country;Change;;3-Step;Medium;error;Maxi;;see Open Topics;Intel;;;;;;;;;;;;;
03.2;2603;Country;Create;;3-Step;Medium;error;Maxi;;see Open Topics;Intel;;;;;;;;;;;;;
03.3;2603;Country ;File Download / Upload;;General;Medium;open;Patrick;;;Intel;;;;;;;;;;;;;
03.4;2603;Country ;Data Export / Import;;General;Medium;open;Patrick;;;Intel;;;;;;;;;;;;;
