No.;Fix/Dev;Ext/Int;Short description;Goal;"Created at 
(via Makro)";Folder;Object Type;Priority;Working Prio;Status;Comments / Next steps;Reporter;Responsible;Solution approach / Comment;Transport;Detailed description
863;Fix;Ext;Product Hierarchy - Moving Nodes;2507;;Link;Product Hierarchy;Very High;995;Closed;;Bayer ;Frank/Mike;"20.05. MX Frank betrachtet LSA und DRF und Direct Table Update Anteil.
08.04. Mike untersucht";;
896;Fix;Ext;Alphanumeric Product Hierarchy;2507;;Link;Product Hierarchy;Very High;990;Closed;;Bayer ;Mike;08.04. Mike untersucht;;
989;Fix;Int;Product Hierarchy - MB Tests Anlage, Aenderung und Verschieben von Teilbäumen;2507;;Link;Product Hierarchy;High;990;Confirmed;;Michael;Mike;ReTest war OK im IH1/100;;
1043;Fix;Ext;R2210, SAP Upgrade check complaining missing ITO SP02;2503;;Link;Payment Term;Very High;990;Solved;;Google;Dieter;"06.11. Mx auf Status Solved.
09.09.25: MB CI-Include Problem; Google ist informiert
28.08. MB: wurde gestern an Google ausgeliefert
28.08. Telko Günter und Michael bezüglich Auslieferung an Kunden.
27.08.2025 neuer Input von Google an uns 
20.08. Told Google to create a SAP Ticket
19.08. Erstes Problem mit Upgrade gelöst. Aber erneute Fehlermeldung wegen 2503. Unklare Fehlermeldung. Dieter versucht mit Günter Problem zu lösen.
13.08. Kommunikation zunächst ohne Ticketerstellung durchgeführt. Zweimalige Nachfrage nach Status blieb bislang unbeantwortet";;
1095;Fix;Ext;Itego add-on update issue on EMDH landscape;2510;29.09.2025 16:30;Link;Installation 2507;High;990;Automatically Confirmed;;Bayer;Dieter;30.09. MB: Gesendetes Protokoll ist unvollständig. ITR SP12 müsste ausgewählt werden, dann sollte es gehen (?) Heute Telko mit Bayer und Dieter/Günter.;;
1110;Fix;Ext;Material Group and Purchasing Group issue;2507;14.10.2025 06:45:36;Link;Material Group;High;990;Confirmed;;Bayer;Dieter;"16.10.2025 MB: Nach Ausführung des Reports zur Neugenerierung der SMT Mapping Laufzeit ist der Dump verschwunden.
14.10.2025 Mx Rückmeldung über Rel-Stände von Bayer. Dieter gebeten dies untersuchen.
14.10.2025 MB: mehr informationen über die installierten Komponenten und den Dump angefragt";;
1114;Fix;Ext;"Data Model Activation fails: 0D3-HDB is a text index; table must be in column store";2507;20.10.2025 10:12:26;Link;n/a;High;990;Automatically Confirmed;;Google;Frank;"28.10. Mx Lösungsvorschlag an Kunden gesendet. 
23.10. MX Thomas klärt mit Frank. Mail an Frank über Problemfall und was evtl. zu Google kommunizieren.
21.10.2025 MB: Kam wieder zurück. Wir hatten das Problem wohl auch schon einmal und Mike schaut wie Frank das wohl damals gelöst hat. Wenn er nochts findet, gibt er es an Frank weiter. 
20.10.2025 MB: angelegt und mit Sabine besprochen, dass Google versuchen könnte den Typ der Tabelle zu ändern. ";;
1161;Fix;Ext;Upgrade to R2507 fails in system GDE;;19.11.2025 17:05:53;Link;RDM Generell Settings;High;990;Confirmed;;ABI;;"01.12.25: R2507 konnte installiert werden, ITR konnte deinstalliert werde. Bei ITO gibt es noch ein internes ABI Problem, da eine Z-Programm gelöscht werden muss
20.11.25 MSK: Optionen die aktuell möglich sind wurden dem Kunden via Mail kommuniziert
19.11.25 MSK: ITR SWC SP 3 kann nicht installiert werden";;
1167;Fix;Int;Shipping points Times_Fields are not filled in during direct distribution;2511;25.11.2025 19:01:44;Link;Shipping Point;Very High;990;Automatically Confirmed;;Gerd;Frank;"09.12.25 Mx Status in Solution Proposal. Dieter sagt Gerd aber noch Beschied, wenn im IR1 und IR2 eingespielt.
8.12.25 MB Frank hat Nachfrage an Gerd gestellt ...
4.12.25 MB Frank hat ID1K906440       SCORYF       R2511: DRF-ShippingPoint, T001-PF4 zur Verfügung gestellt
27.11. Mx Frank hat Lösung gebaut und liefert heute noch für Release.";;
1116;Fix;Ext;Replication issues with Purchasing Group and Material Group;2507;21.10.2025 17:38:50;Link;Purchasing Group and Material Group;High;985;Confirmed;;Bayer;Mike;"06.11.25 Mx Kunde hat Lösung bestätigt. 
28.10. Mx BC-Set Fehler, Bayer Fehler bei Transport nach QM4, Mike hat Bayer informiert,  gelöst.
21.10.25 MB: Mike hat herausgefunden dass wohl das BC Set /ITR/MDG_RDM_DRF_BUS_ALT_04 nicth aktiviert wurde. Generell müsste Bayer alle BC Sets mit den höchsten Nummern aktivieren. Wird aber bei 1117 und 1118 wohl nicht helfen bzw. ggf. die Situation verschlimmern. Siehe dort. Daher aktuell kein allgemeingültiger Hinweis an Bayer diesbzgl. Zunächst Untersuchung der ""RootCause"" für 1117 und 1118 ";;
