"Kürzel (Gefunden)","Anzahl Vorkommen","Voller Name (Bitte Ausfüllen)","Rolle (Optional)"
MX,287,,
UNKNOWN,280,,
MB,116,,
MSK,28,,
SARA,22,,
MIKE,9,,
ME,9,,
ULLA,7,,
NOT,6,,
FRANK,5,,
GS,4,,
TEST,4,,
FIX,4,,
GERD,3,,
IN,3,,
ISSUE,3,,
THE,3,,
FIXED,3,,
OK,3,,
NOTE,2,,
MAREN,2,,
WIR,2,,
AUF,2,,
TO,2,,
TOPIC,2,,
AN,2,,
TELKO,1,,
NEUER,1,,
TOLD,1,,
ITG,1,,
SHELL,1,,
CAN,1,,
KUNDE,1,,
IST,1,,
MDF,1,,
IM,1,,
INFO,1,,
NEU,1,,
MAIL,1,,
UND,1,,
NACH,1,,
NOCH,1,,
NO,1,,
HABE,1,,
ZWEI,1,,
THIS,1,,
DAMIT,1,,
MAXI,1,,
WIESO,1,,
ZUR,1,,
STILL,1,,
MIGHT,1,,
SEE,1,,
SAME,1,,
IS,1,,
DA,1,,
SEEMS,1,,
DUE,1,,
WERK,1,,
WAS,1,,
DIE,1,,
HALLO,1,,
ON,1,,
VON,1,,
ER,1,,
SPRO,1,,
HR,1,,
